97,101,71,45,113,19,21,54,117,85
98,100,69,74,45,114,115,85,54,22
96,65,64,102,113,81,23,54,87,121
66,98,73,45,17,114,118,55,24,88
89,97,67,69,76,113,20,120,25,56
100,68,70,38,74,18,114,21,57,122
97,101,72,75,82,51,22,55,89,124
64,66,102,42,77,17,52,23,56,95
67,73,45,113,19,86,120,57,58,24
98,70,114,84,20,87,55,25,123,125
65,101,39,71,75,15,50,88,56,61
3,68,105,14,83,51,121,90,62,95
89,35,100,6,40,72,18,21,57,63
96,104,73,8,13,78,47,52,119,94
0,34,102,41,75,110,17,49,22,27
64,97,66,2,79,116,55,87,24,29
36,69,7,74,43,10,107,20,88,91
1,67,102,12,76,46,51,56,25,92
70,9,106,44,19,118,58,28,93,95
65,98,4,37,72,73,11,47,52,23
100,68,42,77,111,119,53,87,26,62
5,101,71,103,74,48,80,88,57,124
0,96,34,41,11,16,23,90,30,63
32,35,6,75,108,81,17,51,116,89
64,1,96,68,10,43,46,52,54,24
2,100,69,7,109,14,82,20,117,91
67,36,40,75,48,21,56,59,28,94
97,70,9,12,112,19,84,87,122,125
65,3,102,39,71,49,51,22,55,29
98,4,37,73,13,92,83,89,123,60
8,72,45,113,18,52,86,25,93,95
66,101,74,50,114,115,88,57,61,31
